status,product_area,response,justification,request_type
escalated,account_access,"I understand you've lost access to your Claude team workspace. Since your seat was removed by an IT administrator, you will need to contact your Organization Admin or Owner to be re-added to the team. Per our security policy, only admins can manage team members and restore access. We have escalated this to a human specialist to see if any further assistance can be provided.","The user is requesting restoration of access after being removed by an admin. Based on 'Manage members on Team and Enterprise plans' article, only admins can add members. The user seems anxious, so I've escalated for immediate review.",product_issue
escalated,general_info,"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.","The user is disputing their test score. Based on 'Contact HackerRank Support' and 'Candidate Care' policies, score disputes must be handled by the recruiter directly. The user is frustrated, so I've escalated to Candidate Care for guidance.",product_issue
escalated,billing,"I'm sorry to hear you're having trouble with a merchant. To dispute a charge, please contact your bank or the financial institution that issued your Visa card using the number on the back of your card. They will require detailed transaction information to resolve the dispute. Additionally, if you have serious concerns about a merchant, you can report them to Visa by filling out the 'Visa Rules' form on our website. We have escalated your request to a specialist to ensure you get the help you need.","The user is requesting a refund and merchant ban due to a dispute. According to the 'Visa Consumer Support' article, charge disputes must be handled through the issuing bank. Escalating because this involves financial fraud/disputes.",product_issue
escalated,billing,I'm sorry to hear your mock interviews stopped working. We have escalated your request for a refund to our billing team for immediate review. A specialist will contact you shortly to resolve this.,"The user is requesting a refund for a technical failure. Based on 'Contact HackerRank Support', billing and refund issues require manual intervention. The user is in a hurry, so I've prioritized this escalation.",product_issue
escalated,billing,Thank you for providing your order ID (cs_live_abcdefgh). I have escalated this payment issue to our billing department to track your transaction and ensure your funds are correctly processed. You should hear from us within 24 hours.,"The user has a payment issue with a specific order ID. Based on 'Contact HackerRank Support' guidelines, all billing queries are escalated for security. User sentiment is neutral but urgent.",product_issue
escalated,technical_issue,"We would be happy to assist with your company's InfoSec process. I have escalated this request to our Security and Solution Engineering teams, who will reach out to help you with the necessary forms and documentation.","The user is requesting help with a formal InfoSec process. Based on 'Our HackerRank’s Solution Engineering Team' article, these requests require specialized technical review. Escalating for professional handling.",product_issue
replied,technical_issue,"If you are unable to see the 'Apply' tab, please ensure you are logged into your candidate account and that the application window for the specific challenge is still open. If the issue persists, try clearing your browser cache or using a recommended browser like Chrome.","The user cannot see the apply tab. Based on 'General Help' documentation, this is typically a browser or account type issue. The user is seeking assistance, so I've provided troubleshooting steps.",product_issue
escalated,technical_issue,I'm sorry to hear that submissions are not working for you. I have escalated this report to our technical support team to investigate the platform's challenge functionality. A specialist will follow up with you shortly.,"The user reports a system-wide submission failure. Based on 'Contact HackerRank Support', technical bugs on the website are escalated. The user seems concerned about their practice session.",product_issue
replied,technical_issue,It sounds like you're having trouble with the Zoom connectivity check. Please ensure that Zoom is correctly installed and that your browser has permission to access it. You may also need to check your firewall settings or try a different network.,"The user is blocked by a Zoom connectivity check. Based on 'Compatible check' articles, this is a local configuration issue. I've provided the recommended fixes for the user.",product_issue
replied,general_info,"To reschedule your assessment for 'Company Name', please reach out directly to the recruiter or the company that invited you. HackerRank provides the platform, but all scheduling decisions are made by the hiring company.","The user is requesting a reschedule. Based on 'Candidate Care' and 'Contact HackerRank Support' articles, scheduling is managed by the recruiter. The user is polite and interested, so I've directed them to the right contact.",product_issue
escalated,settings,"I understand you'd like to extend the candidate inactivity times for your interviews. I have escalated this feature request to our product team for consideration. Currently, these settings are managed at the organization level by admins.","The user is requesting a change to system-wide inactivity settings. Based on 'Admin Settings' documentation, this is a configuration request that requires admin review. Escalating as a feature request.",feature_request
escalated,unknown,"I'm sorry to hear you're having trouble. Could you please provide more details about what is not working? For example, are you having trouble logging in or using a specific feature? I've escalated this to a human agent who can help once we have more information.",The user provided a vague 'it's not working' message. No relevant articles could be found. Escalating to a human to gather more context from the frustrated user.,invalid
replied,settings,"To remove an interviewer, please ensure you have Admin permissions. Navigate to the 'Users' section in your settings, find the interviewer's name, and select 'Remove' from the management menu. If the option is missing, it may be because you do not have the required permission level.","The user is unable to find the remove user option. Based on 'Roles and Permissions' and 'Manage Members' articles, this action requires specific admin rights. I've provided the steps to resolve this.",product_issue
escalated,billing,I have received your request to pause your subscription. I have escalated this to our account management team to process the pause and ensure you are not billed further during this period.,"The user wants to pause their subscription. Based on 'HackerRank for Work Billing' policy, subscription changes must be handled by an account manager. Escalating for the neutral user.",product_issue
replied,technical_issue,"If Claude is not responding, please check your internet connection and the official Anthropic status page. If the issue is local, try refreshing your browser or clearing your cache. Our team is also monitoring the system for any outages.","The user reports Claude is down. Based on 'Claude not responding' troubleshooting guide, I've provided the standard status check steps. The user is understandably worried about the failure.",product_issue
escalated,billing,"If your identity has been stolen, please call the Visa Global Customer Assistance Service immediately using the number for your country. We will help you block your card and look into providing emergency services if applicable.","The user reports identity theft. Based on the 'Visa Consumer Support' article and 'Lost or Stolen card' page, this is a high-priority security event. Escalating for immediate safety.",product_issue
escalated,technical_issue,I'm sorry to hear the Resume Builder is down. I have reported this bug to our engineering team. We are working to restore the service as quickly as possible and will update you once it's back online.,"The user reports a specific tool is down. Based on 'Release Notes' and 'System Health' checks, this is a valid bug report. Escalating for the user who needs help with their resume.",bug
escalated,account_access,I understand you need to update the name on your assessment certificate. I have escalated this request to our support team to verify your identity and make the necessary correction.,"The user needs a name correction on a legal certificate. Based on 'Account Settings' and 'Certificate' policies, these changes require manual verification. Escalating for the professional user.",product_issue
replied,billing,"To dispute a charge, please contact your bank or the financial institution that issued your Visa card. The phone number is usually on the back of your card. Your issuer will handle the resolution process for you.","The user is asking how to dispute a charge. Based on the 'Visa Consumer Support' FAQ 'How do I dispute a charge?', the bank is the primary contact. Provided clear instructions to the user.",product_issue
escalated,technical_issue,Thank you for reporting this security vulnerability. I have escalated this immediately to our dedicated security team through our bug bounty channel. A specialist will contact you shortly for more details.,"The user found a security vulnerability. Based on Claude's 'Safeguards' and security policies, this is a critical escalation. The user is helpful, so I've prioritized this report.",product_issue
